4;Afeganistão
8;Albânia
12;Argélia
20;Andorra
24;Angola
28;Antígua e Barbuda
31;Azerbaijão
32;Argentina
36;Austrália
40;Áustria
44;Bahamas
48;Barein
50;Bangladesh
51;Armênia
52;Barbados
56;Bélgica
64;Butão
68;Bolívia (Estado Plurinacional da)
70;Bósnia e Herzegovina
72;Botsuana
76;Brasil
84;Belize
90;Ilhas Salomão
96;Brunei
100;Bulgária
104;Mianmar
108;Burundi
112;Belarus
116;Camboja
120;Camarões
124;Canadá
132;Cabo Verde
140;República Centro-Africana
144;Sri Lanka
148;Chade
152;Chile
156;China
170;Colômbia
174;Comores
178;Congo
180;República Democrática do Congo
188;Costa Rica
191;Croácia
192;Cuba
196;Chipre
203;República Tcheca
204;Benin
208;Dinamarca
212;Dominica
214;República Dominicana
218;Equador
222;El Salvador
226;Guiné Equatorial
231;Etiópia
232;Eritreia
233;Estônia
242;Fiji
246;Finlândia
250;França
262;Djibouti
266;Gabão
268;Geórgia
270;Gâmbia
276;Alemanha
288;Gana
296;Kiribati
300;Grécia
308;Granada
320;Guatemala
324;Guiné
328;Guiana
332;Haiti
340;Honduras
348;Hungria
352;Islândia
356;Índia
360;Indonésia
364;Irã (República Islâmica do)
368;Iraque
372;Irlanda
376;Israel
380;Itália
384;Costa do Marfim
388;Jamaica
392;Japão
398;Cazaquistão
400;Jordânia
404;Quênia
408;República Popular Democrática da Coreia
410;República da Coreia
414;Kuwait
417;Quirguistão
418;República Democrática Popular do Laos
422;Líbano
426;Lesoto
428;Letônia
430;Libéria
434;Líbia
438;Liechtenstein
440;Lituânia
442;Luxemburgo
450;Madagascar
454;Malauí
458;Malásia
462;Maldivas
466;Mali
470;Malta
478;Mauritânia
480;Maurício
484;México
492;Mônaco
496;Mongólia
498;Moldávia (República da)
499;Montenegro
504;Marrocos
508;Moçambique
512;Omã
516;Namíbia
520;Nauru
524;Nepal
528;Holanda
548;Vanuatu
554;Nova Zelândia
558;Nicarágua
562;Niger
566;Nigéria
578;Noruega
583;Micronésia (Estados Federados da)
584;Ilhas Marshall
585;Palau
586;Paquistão
591;Panamá
598;Papua Nova Guiné
600;Paraguai
604;Peru
608;Filipinas
616;Polônia
620;Portugal
624;Guiné-Bissau
626;Timor-Leste
634;Catar
642;Romênia
643;Federação da Rússia
646;Ruanda
659;São Cristóvão e Nevis
662;Santa Lúcia
670;São Vicente e Granadinas
674;San Marino
678;São Tomé e Príncipe
682;Arábia Saudita
686;Senegal
688;Sérvia
690;Seichelles
694;Serra Leoa
702;Singapura
703;Eslováquia
704;Vietnã
705;Eslovênia
706;Somália
710;África do Sul
716;Zimbábue
724;Espanha
728;Sudão do Sul
729;Sudão
740;Suriname
748;Eswatini
752;Suécia
756;Suíça
760;Síria
762;Tadjiquistão
764;Tailândia
768;Togo
776;Tonga
780;Trinidad e Tobago
784;Emirados Árabes Unidos
788;Tunísia
792;Turquia
795;Turcomenistão
798;Tuvalu
800;Uganda
804;Ucrânia
807;Macedônia do Norte
818;Egito
826;Reino Unido da Grã-Bretanha e Irlanda do Norte
834;Tanzânia República Unida da
840;Estados Unidos da América
854;Burkina Faso
858;Uruguai
860;Uzbequistão
862;Venezuela (República Bolivariana da)
882;Samoa
887;Iêmen
894;Zâmbia
